Dry_molar_flow_rate,Current_set,Pressure,Pump_stoichiometry,Relative_humidity_H2,Relative_humidity_air,Temperature_air,Temperature_hydrogen,Max_CL_ice_cathode
0.28,23.59,142.22,0.03,62.44,85.56,273.3,331.86,8.35
3.13,97.3,171.85,0.08,94.17,66.63,261.6,336.05,3.42
0.56,94.41,216.79,0.09,67.62,40.03,338.17,321.43,3.11
3.72,51.16,194.87,0.02,73.52,96.63,304.97,330.82,4.47
0.63,31.06,142.41,0.03,55.89,88.03,253.57,266.33,17
3.31,91.64,170.39,0.07,63.23,62.64,275.15,309.27,18.12
1.83,71.64,170.39,0.07,63.23,62.64,275.15,309.27,19.24
0.61,27.86,251.07,0.13,53.62,34.97,260.99,311.49,23.14
0.69,57.62,223.56,0.15,73.24,56.44,269.31,301.97,15.42
1.94,65,209.75,0.05,97.58,91.72,315.48,306.11,9.41
1.46,49.38,259.86,0.13,93.33,40.46,331.28,256.53,24.13
0.36,42.06,175.79,0.02,54.78,69.9,306.33,302.81,5.4
0.99,81.11,212.58,0.07,31.4,81.75,256.68,292.9,9.07
1.56,74.41,216.79,0.09,67.62,40.03,338.17,321.43,7.7
2.26,92.94,225.96,0.13,48.53,50.26,269.64,288.95,20.17
0.99,69.47,235.9,0.12,66.43,62.3,323.4,314.25,9.66
0.2,37.09,148.07,0.11,63.5,77.56,293.98,314.09,15.3
3.58,66.76,153.25,0.1,52.2,75.94,265.59,323.2,23.31
0.56,34.41,216.79,0.09,67.62,40.03,338.17,321.43,14.57
3.95,41.11,212.58,0.07,31.4,81.75,256.68,292.9,18.34
1.96,41.11,212.58,0.07,31.4,81.75,256.68,292.9,24.77
0.35,52.94,225.96,0.13,48.53,50.26,269.64,288.95,6.36
1.66,72.16,183.65,0.06,32.69,69.91,292.62,310.23,13.23
3.88,54.31,235.9,0.08,79.6,74.13,331.84,297.98,17.93
0.23,92.16,183.65,0.06,32.69,69.91,292.62,310.23,4.49
3.62,75.12,209.14,0.07,92.72,71.44,304.65,310.65,10.36
0.98,65.45,186.01,0.08,86.85,85.42,300.75,296.35,13.66
1.36,93.19,200.16,0.08,46.14,96.93,311.11,288.69,10.38
1.18,34.41,216.79,0.09,67.62,40.03,338.17,321.43,21.23
1.21,28.67,185.59,0.13,65.65,42.68,324.12,260.92,31.37
1.21,92.38,212.77,0.08,62.91,31.34,280.29,317.6,7.2
1.95,40.33,242.7,0.04,83.54,30.82,285.55,338.12,4
1.42,73.47,151.53,0.15,91.47,98.35,295.33,299.02,27.07
2.72,52.26,192.44,0.14,36.95,78.83,258.57,340.43,19.2
0.32,54.41,216.79,0.09,67.62,40.03,338.17,321.43,2.87
1.29,60.67,218.38,0.15,52.47,75.65,291.98,273.06,23.27
3.21,72.47,217.51,0.06,50.83,60.63,333.41,258.25,24.04
1.8,42.83,184.11,0.02,98.88,60.51,333.42,276.58,12.18
3.33,53.06,220.48,0.03,55.07,44.73,264.75,320.71,5.15
3.66,72.16,183.65,0.06,32.69,69.91,292.62,310.23,14.16
1.3,23.59,142.22,0.03,62.44,85.56,273.3,331.86,10.86
3.46,59.29,177.43,0.09,44.87,57.88,272.04,273.17,24.26
2.67,25.76,174.81,0.06,82.44,73.26,291.74,332.21,2.63
2.91,84.33,208.21,0.03,52.69,31.32,308.74,266.62,12.35
1.55,54.94,229.84,0.02,45.22,93.26,260.66,320.58,7.2
1.2,22.06,175.79,0.02,54.78,69.9,306.33,302.81,16.22
3.94,65,209.75,0.05,97.58,91.72,315.48,306.11,8.37
3.1,51.86,225.82,0.13,90.06,72.19,302.19,329.4,9.49
0.49,69.47,235.9,0.12,66.43,62.3,323.4,314.25,2.9
3.06,74.41,216.79,0.09,67.62,40.03,338.17,321.43,7.96
1.68,24.33,208.21,0.03,52.69,31.32,308.74,266.62,20
1.16,92.16,183.65,0.06,32.69,69.91,292.62,310.23,8.13
1.79,61.66,251.52,0.05,30.65,52.3,313.22,328.96,5.94
2.08,66.76,153.25,0.1,52.2,75.94,265.59,323.2,26.58
3.57,62.06,175.79,0.02,54.78,69.9,306.33,302.81,6.84
3.1,54.63,210.14,0.02,44.64,97.34,279.44,278.97,10.47
