Dry_molar_flow_rate,Current_set,Pressure,Pump_stoichiometry,Relative_humidity_H2,Relative_humidity_air,Temperature_air,Temperature_hydrogen,Work_time
0.59,31.86,225.82,0.13,90.06,72.19,302.19,329.4,45.85
0.48,32.47,217.51,0.06,50.83,60.63,333.41,258.25,43.69
0.97,25.45,186.01,0.08,86.85,85.42,300.75,296.35,48.37
0.61,27.86,251.07,0.13,53.62,34.97,260.99,311.49,48.53
0.12,27.36,239.91,0.14,39.82,84.47,331.45,331.46,48.59
0.98,29.47,235.9,0.12,66.43,62.3,323.4,314.25,45.03
0.21,34.41,216.79,0.09,67.62,40.03,338.17,321.43,46.2
0.57,22.12,189.76,0.08,43.04,48.52,322.83,319.47,47.46
0.51,24.33,208.21,0.03,52.69,31.32,308.74,266.62,47
0.65,24.45,214.03,0.06,93.18,96.06,314.51,293.65,46.49
0.7,33.06,220.48,0.03,55.07,44.73,264.75,320.71,46.34
0.69,31.64,170.39,0.07,63.23,62.64,275.15,309.27,48.2
0.24,26.76,153.25,0.1,52.2,75.94,265.59,323.2,51.19
0.28,38.99,184.25,0.1,30.95,87.47,261.89,309.21,48.3
0.85,33.47,151.53,0.15,91.47,98.35,295.33,299.02,48.15
0.98,21.11,212.58,0.07,31.4,81.75,256.68,292.9,50.66
0.39,37.61,189.71,0.14,45.18,34.49,315.47,304.02,45.9
0.61,37.3,171.85,0.08,94.17,66.63,261.6,336.05,46.65
0.62,21.66,251.52,0.05,30.65,52.3,313.22,328.96,47.66
0.22,32.94,225.96,0.13,48.53,50.26,269.64,288.95,49.73
0.63,31.06,142.41,0.03,55.89,88.03,253.57,266.33,49.63
0.71,31.39,172.4,0.11,50.19,81.46,339.75,292.15,40.88
0.32,35.12,209.14,0.07,92.72,71.44,304.65,310.65,45.73
0.3,37.83,254.33,0.11,61.44,61.3,329.33,341.22,43.82
0.73,22.32,175.69,0.12,58.83,86.97,288.84,313.94,49.76
0.89,25,209.75,0.05,97.58,91.72,315.48,306.11,46.2
0.75,33.19,200.16,0.08,46.14,96.93,311.11,288.69,45.3
0.48,32.38,212.77,0.08,62.91,31.34,280.29,317.6,47.02
0.22,22.06,175.79,0.02,54.78,69.9,306.33,302.81,41.85
0.62,20.67,218.38,0.15,52.47,75.65,291.98,273.06,49.71
0.91,22.83,184.11,0.02,98.88,60.51,333.42,276.58,45.63
0.83,30.74,224.47,0.07,36.97,37.02,335.9,284.86,44.45
0.74,29.38,259.86,0.13,93.33,40.46,331.28,256.53,45.29
0.25,30.17,213.87,0.03,84.53,38.67,329.47,330.99,40.92
0.83,28.23,208.29,0.03,32.33,58.5,259.38,341.58,47.45
0.73,27.47,194.43,0.07,33.54,80.54,331.12,286.04,44.05
0.98,20.33,242.7,0.04,83.54,30.82,285.55,338.12,47.36
0.76,35,160.6,0.06,64.27,66.47,258.04,283.66,48.58
0.28,23.59,142.22,0.03,62.44,85.56,273.3,331.86,48.26
0.25,30,214.58,0.02,78.94,70.41,274.56,342.47,55.74
1.64,32.47,217.51,0.06,50.83,60.63,333.41,258.25,44.6
1.03,27.36,239.91,0.14,39.82,84.47,331.45,331.46,43.6
2.47,29.47,235.9,0.12,66.43,62.3,323.4,314.25,45.95
1.18,34.41,216.79,0.09,67.62,40.03,338.17,321.43,43.08
1.68,24.33,208.21,0.03,52.69,31.32,308.74,266.62,49.35
1.92,24.45,214.03,0.06,93.18,96.06,314.51,293.65,47.79
1.47,32.16,183.65,0.06,32.69,69.91,292.62,310.23,48.02
1.29,38.99,184.25,0.1,30.95,87.47,261.89,309.21,47.46
1.85,37.3,171.85,0.08,94.17,66.63,261.6,336.05,46.94
1.86,21.66,251.52,0.05,30.65,52.3,313.22,328.96,47.62
